"name","product_url","price","availability","score","region","processing","drying","arrival","packaging","farm","cultivar","grade","roast","weight","type","flavor_floral","flavor_honey","flavor_sugars","flavor_caramel","flavor_fruits","flavor_citrus","flavor_berry","flavor_cocoa","flavor_nuts","flavor_rustic","flavor_spice","flavor_body","cup_dry_fragrance","cup_wet_aroma","cup_brightness","cup_flavor","cup_body","cup_finish","cup_sweetness","cup_clean_cup","cup_complexity","cup_uniformity","short_desc","product_img","cupping_thumb","flavor_thumb"
"Ethiopia Dry Process Mahamed Aba Nura","https://www.sweetmarias.com/ethiopia-dry-process-mahamed-aba-nura-7433.html","$7.70","In stock","90.2","Beshasha, Agaro","Dry Process (Natural)","Raised Bed Sun Dried","November 2022 Arrival","GrainPro Liner","Yes","Heirloom Cultivars","Grade 1","City to Full City","","Farm Gate","1.5","0","4","2","3.5","2","3","3","0","2","2","4","9","9.1","8.8","9.1","8.8","8.8","8.9","8.2","9.3","8.2","Aromatic fruit, pronounced sweetness, and moderate acidic impression for dry process coffee. Notes of peach, apricot, lemon peel, with rustic hints of prune, date sugar, and cocoa with more roast. City to Full City.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/e/t/ethiopia-limu-agaro-beshasha-2_2.jpeg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_1__11_19.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_11_19.png"
"Ethiopia Dry Process Mansur Aba Hikam","https://www.sweetmarias.com/ethiopia-dry-process-mansur-aba-hikam-7432.html","$7.50","In stock","90.7","Kebele Kota, Agaro, Jimma","Dry Process (Natural)","Raised Bed Sun-Dried","November 2022 Arrival","GrainPro Liner","Yes","Heirloom Cultivars","Grade 1","City to Full City+","","Farm Gate","0","0","4","0","4","0","3.5","3","0","2","2","4","9","9.1","8.8","9.1","8.8","8.8","8.9","8.2","9.3","8.2","Lighter roasts promise an overlay of fruits and rustic sweeteners, bluberry, dried fig, maple, palm sugar, coconut date rolls, molasses, and a layer of chocolate bittersweets added in when roasted dark. City to Full City+. Good for espresso.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/e/t/ethiopia-sweet-marias-agaro-forest-western-coffee-7.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_11_24.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_1__11_24.png"
"Ethiopia Dry Process Senna Katta Mountain","https://www.sweetmarias.com/ethiopia-dry-process-senna-katta-mountain-7455.html","$7.55","In stock","89.3","Limmu Kossa, Jimma","Dry Process (Natural)","Raised Bed Sun Dried","August 2022 Arrival","GrainPro Liner","Yes","Heirloom Cultivars","Grade 1","City+ to Full City+","","Farm Gate","0","0","3","0","4","2","3","4","0","2","1","4.5","8.7","8.9","8.5","8.9","9.4","8.5","8.7","8.2","9.3","8.2","City+ roasts pull out a range of stone fruit flavors, rustic cocoa, and tart berry hints that add an acidic impression that's a nice addition for a fruity dry process coffee. A versatile dry process. City+ to Full City+. Good for espresso.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/e/t/ethiopia-sweet-marias-senna-katta-mountain-fys-2.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_6__1_25.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_7__1_27.png"
"Ethiopia Guji Buku Sayisa","https://www.sweetmarias.com/ethiopia-guji-buku-sayisa-7346.html","$8.15","In stock","89.6","Buku Village, Hambela Wamena, Guji Zone","Wet Process (Washed)","Raised Bed Sun-Dried","July 2022 Arrival","GrainPro Liner","Yes","Heirloom Cultivars","Grade 1","City to City+ - the cracks are hardly audible, and best if you can watch for physical fracturing","","Farm Gate","2.5","2","3","0","2.5","2","2","0","0","1.5","2","3","8.9","9","8.5","9","8.3","8.2","9","8.2","9.5","9","Atypical flavors for Guji, with a unique mix of herbal, forward facing fruit, and mild florals. Cantaloupe and galia melon, baked peach, miso, orange marmalade, pungent papaya, and jack fruit accent note. City to City+.*Please note the beans are very small (down to 13 screen) and dense, 1st Crack is subtle and hard to hear. See Farm Notes for roasting tips.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/e/t/ethiopia-sweet-marias-green-coffee-guji-zone-1.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_10_27.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_1__10_29.png"
"Ethiopia Kayon Mountain Taaroo","https://www.sweetmarias.com/ethiopia-kayon-mountain-taaroo-7350.html","$8.25","In stock","91.8","Taaroo, Guji Zone","Wet Process (Washed)","Raised Bed Sun-Dried","July 2022 Arrival","GrainPro Liner","Yes","Heirloom Cultivars","Grade 1","City to City+","","Farm Gate","3.5","0.5","3","1","2","3","1.5","0","0","0","1.5","3","9","9.5","9","9.6","8","9.5","8.7","9.5","9.5","9","Taaroo shows a delicate side that's tea-like, bright and distinct. It's the kind of profile you'd expect to make top placement in a coffee competition! Star jasmine, herbal rue, tart citrus, and passion fruit hints. City to City+.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/e/t/ethiopia-sweet-marias-guji-coffee-kayon-mountain-10_2.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_41__8.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_42__8.png"
"Ethiopia Organic Dry Process Wolenso Dabessa","https://www.sweetmarias.com/ethiopia-organic-dry-process-wolenso-dabessa-7514.html","$7.64","In stock","89.2","Wolenso, Limu Kossa","Dry Process (Natural)","Raised Bed Sun-Dried","January 2023 Arrival","GrainPro Liner","Yes","Heirloom Cultivars","Grade 1","City+ to Full City+","","Farm Gate, Organic/Fair Trade Cert.","0","0","3","0","3.5","0","3.5","3.5","0","2","0","4","9","9","8.4","9","9.2","8.6","8.8","8","9.2","8","Date sugar sweetness opens up to fruit flavors and cocoa bittersweets, dried apricot, tamarind, dehydrated strawberry, and raisin. Incredible dry process espresso option too (see review)! City+ to Full City+. Good for espresso.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/e/t/ethiopia-mesfin-dabessa-dh-family-coffeeuntitled-22.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-03-10t143255.176.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-03-10t143258.605.png"
"Ethiopia Organic Geta Bore Coop","https://www.sweetmarias.com/ethiopia-organic-geta-bore-coop-7295.html","$7.70","In stock","90.6","Bore Woreda, Illubabor","Wet Process (Washed)","Raised Bed Sun-Dried","June 2022 Arrival","GrainPro Liner","Yes","Heirloom Cultivars","Grade 1","City to Full City","","Farm Gate, Organic/Fair Trade Cert.","2","2","3.5","0","2.5","2","0","3","0","0","1.5","4","9","9.2","8.9","9.1","9","8.9","9","8.5","9","9","A dynamic cup profile with aromatic sweetness, sugar cane juice, ripe stone fruits, peach tea, mango, and fruit gum. A very friendly dark roast candidate too, not too bittersweet, and with a dark berry note. City to Full City+.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/e/t/ethiopia-sweet-marias-agaro-coffee-nano-challa-2_2.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-02-10t092853.938.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-02-10t092857.868.png"
"Ethiopia Sample Set: Dry Process Trio","https://www.sweetmarias.com/ethiopia-sample-set-dry-process-trio.html","$7.55","In stock","","Ethiopia","","","New Crop Arrivals","","Yes","","","","","Farm Gate, Sample Sets","2","0","4","2","4","2","3","3.5","0","2","2.5","4","","","","","","","","","","","This sample set currently includes:Ethiopia Dry Process Kafa Dehab Mesfin Farm: Delicious fruits and bittersweetness, notes of berry, cinnamon streusel, and floral accents. Also a syrupy textured espresso shot of inky dark chocolates with fruits underneath. City to Full City+. Good for espresso.Ethiopia Dry Process Kata Senna Mountain: City+ roasts pull out a range of stone fruit flavors, rustic cocoa, and tart berry hints that add an acidic impression that's a nice addition for a fruity dry process coffee. A versatile dry process. City+ to Full City+. Good for espresso.Ethiopia Dry Process Wollenso Dabessa: Date sugar sweetness opens up to fruit flavors and cocoa bittersweets, dried apricot, tamarind, dehydrated strawberry, and raisin. Incredible dry process espresso option too (see review)! City+ to Full City+. Good for espresso.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/e/t/ethiopia-dry-process-trio.jpg","",""
"Kenya Nyeri Gatugi AA","https://www.sweetmarias.com/kenya-nyeri-gatugi-aa-7330.html","$8.50","In stock","89.7","Gatugi, Nyeri","Wet Process (Washed)","Raised Bed Sun Dried","July 2022 Arrival","GrainPro Liner","Yes","SL-28, SL-34, Ruiru-11","AA","City to Full City","","Farm Gate","0","0","3","0","2.5","2.5","2.5","0","0","0.5","2.5","3.5","9","9.2","9.3","9","8.7","8.6","8.8","8.3","9","8.8","Fruits at the front of the cup, pomegranate, mixed berry, mulled grape juice, and citrus hints of citrus rind and lemonade enhance the bright acidity. Spiced accents lead to some woody incense in the finish. City to Full City.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/k/e/kenya-sweet-marias-green-coffeee-nyeri-gatugi-3.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_7__1_30.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_8__40.png"
"Kenya Nyeri Gichichi AB","https://www.sweetmarias.com/kenya-nyeri-gichichi-ab-7323.html","$7.95","In stock","89.8","Gichichi, Nyeri","Wet Process (Washed)","Raised Bed Sun Dried","July 2022 Arrival","GrainPro Liner","Yes","SL-28, SL-34, Ruiru-11, Batian","AB","City to Full City","","Farm Gate","0","2","3.5","2","2.5","2","2.5","2","0","1.5","2.5","3.5","8.9","9","9","9","8.5","8.7","8.8","8.2","9.2","8.5","A vibrant and juicy cup at all roast levels we tried, with a fruited sweetness that's fortified by notes of dried cranberry, currant, blackberry compote, raw sugars, and a sweet/tart profile of elderberry tea. City to Full City.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/k/e/kenya-sweet-marias-green-coffee-nyeri-factory-21.jpeg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_11__33.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_12__1_25.png"
"Kenya Nyeri Kagunyu AA","https://www.sweetmarias.com/kenya-nyeri-kagunyu-aa-7338.html","$8.56","In stock","89.6","Karatina, Nyeri","Wet Process (Washed)","Raised Bed Sun Dried","July 2022 Arrival","GrainPro Liner","Yes","SL-28, SL-34","AA","City to Full City","","Farm Gate","0","0","3","0","3","3","2","2.5","0","2","0","3.5","9","9","9.2","9","8.5","8.7","8.8","8.2","9.2","9","Vibrant and sweet, with flavors of tangy lemon, brisk black tea, dried goji berry, rustic sugars, tamarind, coconut water, and delicious fruited-chocolate side when roasted to Full City. City to Full City.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/k/e/kenya-sweet-marias-green-coffee-nyeri-factory-13_1.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_2__2_43.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_3__4_5.png"
"Kenya Nyeri Kamoini AB","https://www.sweetmarias.com/kenya-nyeri-kamoini-ab-7336.html","$7.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A delicious pour-over brew, with layered sweetness of simple syrup, toasted sugar, and corn syrup, citrus fruits that enhance a bright acidic impression, and a hop/spice hint that reminded me of Belgian white beer. City to Full City.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/k/e/kenya-othaya-nyeri-factory-kamoini-1_2.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_91__3.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_92__3.png"
"Kenya Nyeri Kiaguthu AA","https://www.sweetmarias.com/kenya-nyeri-kiaguthu-aa-7333.html","$8.65","In stock","90.6","Kiaguthu, Nyeri","Wet Process (Washed)","Raised Bed Sun Dried","July 2022 Arrival","GrainPro Liner","Yes","SL-28, SL-34","AA","City to Full City","","Farm Gate","0","0","4","0","3","3.5","2","0","0","0","0","3.5","9.1","9.2","9.2","9.2","8.7","9","9","9","9.2","9","A ""light and bright"" cup profile when kept to City-City+ roast levels. Tart lemon notes bring vivid acidity to the brew, and are buffered by cane sugar and berry, a combination that brought to mind cranberry lemonade. City to Full City.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/k/e/kenya-sweet-marias-othaya-fcs-dry-mill-7.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/k/e/kenya-nyeri-kiaguthu-aa-cupping-chart.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-01-06t145425.914.png"
"Kenya Nyeri Thunguri AB","https://www.sweetmarias.com/kenya-nyeri-thunguri-ab-7325.html","$7.90","In stock","90","Nyeri","Wet Process (Washed)","Raised Bed Sun Dried","July 2022 Arrival","GrainPro Liner","Yes","SL-28, SL-34","AB","City+ to Full City","","Farm Gate","0","0","3.5","0","3","3","2.5","2.5","0","1.5","2","3.5","9","9.2","9","9.1","8.5","9","9","8.5","9.2","8.5","Light roasts bear tart fruits and sweetness that rides the line between fruit pectin and raw sugar, with notes of citrus, pomegranate, and spice. Full City develops a bittersweet layer that melds with dark berry notes. City to Full City.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/k/e/kenya-sweet-marias-othaya-fcs-dry-mill-3.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_11_16.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_1__11_16.png"
"Rwanda Dry Process Macuba","https://www.sweetmarias.com/rwanda-dry-process-macuba-7494.html","$7.42","In stock","88.1","Macuba, Nyamasheke, Western Province","Dry Process (Natural)","Raised Bed Sun-Dried","January 2023 Arrival","GrainPro Liner","Yes","Bourbon","A1","City to Full City+","","Farm Gate","1","0","3","0","3.5","2","3","3","0","2","1","4","8.9","9","8.6","8.9","9","8.7","8.7","8.3","9.3","8.2","Fruit-forward no matter what roast you throw at it; ripe blackberry, winey accents, chocolate-cherry cordials, fruit liqueur, and jam. A moderate acidity level helps prop up the wilder fruit flavors. City to Full City+.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/r/w/rwanda-rwacof-nyamasheke-sweet-marias-macuba--6_1.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-03-08t104629.601.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-03-08t104632.702.png"
"Rwanda Honey Process Kanyege","https://www.sweetmarias.com/rwanda-honey-process-kanyege-7497.html","$7.48","In stock","88.4","Nyamasheke, Western Province","Honey Process","Raised Bed Sun-Dried","January 2023 Arrival","GrainPro Liner","Yes","Bourbon","Estate","City to Full City","","Farm Gate","0","1","3.5","3.5","1.5","1.5","1","3.5","0","0","2","4","8.7","8.9","8.7","8.9","9","8.6","9","9","8.9","8.2","Ample sweetness across our recommended roasts, from unrefined sugars to dark caramels. Flavors range from black tea, cardamom, candied orange peel, licorice, and chocolate bar. City to Full City. Good for espresso.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/r/w/rwanda-nyamasheke-coffee-kanyege-2_5.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_11_11.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_1__11_11.png"
